transaction_date,customer_id,region,product_category,units_sold,unit_price,revenue,high_value
2023-02-13,1468,West,Clothing,4.0,100,420.0162743861751,0
2023-04-05,1509,South,Clothing,10.0,40,414.58149650525,0
2024-06-01,2503,Unknown,Sports,10.0,150,2232.3543537781675,1
2023-04-21,2617,North,Sports,11.0,150,1640.7563772920153,1
2024-11-18,2770,East,Clothing,1.0,150,144.70446711231597,0
2024-07-03,2826,West,Beauty,13.0,40,530.9889493483432,0
2024-11-05,1200,East,Beauty,16.0,100,1543.696580153786,1
2023-04-16,2433,West,Beauty,13.0,40,519.8045205927011,0
2023-09-25,1761,North,Clothing,16.0,40,607.067743227351,0
2024-09-15,2196,Unknown,Home,5.0,40,180.5496962897845,0
2023-09-15,2752,North,Electronics,7.0,150,1081.558350788967,1
2023-04-15,2233,North,Sports,5.0,60,278.874186335154,0
2024-07-29,1481,West,Clothing,10.0,150,2232.3543537781675,1
2023-09-20,1414,South,Beauty,8.0,150,1233.346837350615,1
2024-04-27,1222,Unknown,Beauty,18.0,20,345.7162373313252,0
2023-07-30,1076,Unknown,Clothing,15.0,20,285.0398241552193,0
2024-09-05,2029,Unknown,Clothing,4.0,100,404.5256476460777,0
2024-09-01,1769,South,Beauty,16.0,100,1609.2445305856868,1
2023-12-09,2176,West,Home,4.0,60,254.91420961244896,0
2023-07-03,1012,East,Clothing,9.0,60,516.1741954081135,0
2024-10-07,1992,West,Sports,1.0,40,58.1838397177027,0
2024-09-15,2461,South,Clothing,3.0,60,144.1122144086974,0
2024-11-17,1863,Unknown,Sports,7.0,20,137.09655819193813,0
2023-06-21,2512,North,Sports,18.0,100,1836.8656956903783,1
2023-06-06,2736,Unknown,Beauty,13.0,20,254.7221349821647,0
2023-03-03,1798,South,Clothing,17.0,100,1707.142336113486,1
2023-04-02,1493,Unknown,Beauty,9.0,60,571.032665315305,0
2024-02-28,1181,West,Beauty,10.0,100,1091.3099377511242,1
2024-06-06,2629,South,Clothing,13.0,40,528.9593027668375,0
2024-02-22,2593,East,Electronics,19.0,20,388.5122060361921,0
2024-10-25,2087,North,Clothing,8.0,100,784.0780976267118,1
2023-03-15,1899,North,Home,6.0,60,396.3162016871281,0
2023-10-05,1418,Unknown,Sports,4.0,40,126.5227732743829,0
2023-10-14,2133,Unknown,Clothing,7.0,20,159.0140594156933,0
2023-04-28,2423,West,Clothing,5.0,40,181.44356680864988,0
2024-05-03,2678,West,Home,3.0,20,55.17860370550525,0
2023-06-21,2168,South,Sports,18.0,40,759.7096101126469,1
2023-04-02,2134,North,Home,9.0,20,159.71186139747877,0
2023-10-30,1728,Unknown,Home,11.0,20,215.7929045827677,0
2023-03-10,2067,North,Home,11.0,40,466.37212339504697,0
2024-03-02,1406,South,Home,9.0,100,902.7373657549468,1
2024-12-14,1604,Unknown,Home,18.0,150,2232.3543537781675,1
2024-11-16,2813,South,Sports,8.0,100,811.2458102081317,1
2024-04-04,1097,South,Clothing,17.0,20,366.6533824646401,0
2024-04-14,1233,Unknown,Electronics,10.0,150,1514.2788936119885,1
2023-07-03,1053,North,Clothing,9.0,40,391.6705439484361,0
2024-11-29,2128,Unknown,Home,10.0,20,194.08240381703675,0
2024-01-13,2648,West,Beauty,13.0,60,805.4221047340981,1
2024-01-18,1953,Unknown,Beauty,18.0,60,1077.858326463854,1
2023-10-04,1542,North,Clothing,10.0,20,222.20129922614177,0
2023-02-28,1877,Unknown,Sports,9.0,150,1302.0607853415647,1
2023-08-25,2709,South,Home,14.0,40,544.1918922789393,0
2023-11-15,2354,East,Clothing,18.0,40,722.2936380664593,1
2024-01-26,1867,South,Clothing,8.0,60,450.20176728484097,0
2023-01-06,2593,North,Sports,2.0,100,192.48136287096904,0
2024-02-14,1354,West,Home,8.0,20,167.80275806981626,0
2023-04-18,1727,West,Clothing,19.0,20,381.64669627065945,0
2024-01-25,2237,North,Sports,17.0,100,1692.6372099124235,1
2023-07-13,2342,North,Beauty,18.0,20,373.1662451348338,0
2024-03-10,2408,East,Clothing,4.0,150,615.7285640791675,0
2024-08-01,2276,North,Sports,2.0,100,178.97820166066904,0
2024-08-20,1839,West,Clothing,13.0,60,744.6591712280931,1
2024-07-28,1084,North,Clothing,8.0,60,523.1768922702004,0
2023-06-20,2782,West,Clothing,16.0,100,1577.3012385906768,1
2024-02-12,2686,Unknown,Sports,5.0,150,783.2752840721348,1
2023-06-08,2947,West,Home,14.0,150,2082.6538082677075,1
2023-05-16,1318,North,Sports,4.0,150,630.472774597714,0
2024-09-24,1972,West,Beauty,13.0,20,268.7914684818869,0
2023-12-28,2193,North,Beauty,3.0,60,172.26022842925715,0
2023-11-08,1381,Unknown,Clothing,6.0,150,879.3242645490038,1
2023-10-15,1043,North,Clothing,3.0,100,306.5850488799752,0
2024-09-14,1708,North,Electronics,13.0,150,1938.1194405937676,1
2023-10-18,1135,Unknown,Electronics,9.0,150,1365.6626106317633,1
2023-10-10,2589,North,Electronics,8.0,20,136.99078952467912,0
2023-02-25,2117,North,Sports,15.0,40,623.5406883088808,0
2023-06-29,2086,East,Beauty,1.0,100,132.49596756803044,0
2024-01-25,1624,North,Electronics,18.0,40,761.876558594423,1
2024-08-12,2784,East,Clothing,14.0,100,1427.9112115233388,1
2023-12-07,1115,Unknown,Electronics,1.0,150,173.591784226966,0
2023-04-19,2504,Unknown,Sports,8.0,150,1198.0868284490298,1
2023-09-03,2905,West,Home,13.0,40,501.42238212329335,0
2023-07-26,1561,Unknown,Electronics,8.0,60,465.4884814327975,0
2024-05-29,1301,South,Home,17.0,60,986.5441428391914,1
2023-12-08,2715,East,Clothing,4.0,40,197.75574925841548,0
2024-06-02,2317,Unknown,Electronics,10.0,60,615.1047592277816,0
2024-09-29,2602,West,Sports,6.0,60,387.6388591684207,0
2024-04-25,2201,South,Beauty,9.0,60,561.0677773825886,0
2024-12-26,1649,North,Electronics,16.0,40,653.7784839690439,0
2023-09-11,1653,Unknown,Clothing,11.0,40,464.3579750618695,0
2023-12-14,1736,West,Home,15.0,60,916.5124310409416,1
2023-02-06,1157,East,Clothing,19.0,60,1148.6187498757392,1
2024-03-12,1305,West,Clothing,4.0,20,103.41209443301128,0
2023-11-16,1360,South,Clothing,5.0,150,740.7838094737426,1
2023-02-02,2853,East,Home,10.0,20,72.67120697884101,0
2024-05-07,1278,North,Home,9.0,100,886.6697739623531,1
2024-08-13,2273,South,Home,16.0,20,280.4529459366613,0
2023-08-15,1623,North,Beauty,18.0,60,1093.2651781319405,1
2024-02-23,1800,West,Home,8.0,20,183.13521083325804,0
2023-02-10,2091,East,Electronics,6.0,40,219.1483892136616,0
2023-05-15,2447,West,Sports,12.0,40,493.88033030807793,0
2023-03-14,2026,West,Clothing,10.0,60,643.9093932303267,0
2024-08-18,2470,East,Clothing,15.0,60,902.2597780756646,1
2023-07-08,2967,North,Clothing,17.0,20,336.10183441740327,0
2024-02-27,1203,East,Sports,12.0,60,712.3757115649345,1
2024-12-10,1061,South,Beauty,17.0,100,1655.3173435477115,1
2023-06-16,2718,West,Beauty,17.0,20,329.1237762684479,0
2023-05-24,2066,North,Beauty,8.0,60,467.3324546493783,0
2023-05-19,2862,North,Clothing,7.0,60,429.05080477091593,0
2023-08-07,2920,Unknown,Electronics,3.0,60,193.05555436020435,0
2024-11-18,1721,South,Sports,5.0,150,729.9847231254827,1
2023-09-10,1650,Unknown,Home,17.0,20,399.9099454207258,0
2023-02-17,2597,West,Electronics,7.0,150,1008.598600970675,1
2024-01-07,2798,Unknown,Clothing,19.0,60,1110.3636598749515,1
2023-01-16,1255,Unknown,Sports,8.0,20,160.0,0
2023-10-31,1284,North,Clothing,13.0,60,820.7066973121924,1
2024-05-30,1418,Unknown,Electronics,13.0,60,722.1595742462365,1
2023-07-31,1375,North,Beauty,3.0,150,418.26891781351327,0
2024-08-25,2912,North,Clothing,1.0,60,40.84116852908737,0
2023-05-10,1857,North,Sports,14.0,150,2108.638726789785,1
2023-01-03,2722,Unknown,Clothing,9.0,150,1396.4514673092572,1
2024-05-23,2153,South,Sports,17.0,100,1719.6405566473302,1
2023-03-23,2538,North,Clothing,4.0,20,71.77700087278755,0
2023-06-10,1949,South,Clothing,16.0,60,948.9610674545312,1
2023-08-30,2276,Unknown,Beauty,16.0,150,2232.3543537781675,1
2023-07-19,2920,East,Beauty,12.0,60,715.45905195643,1
2024-02-03,1207,West,Home,1.0,40,60.95451662086563,0
2024-04-19,1266,Unknown,Sports,10.0,100,977.728372801906,1
2023-08-05,2382,East,Beauty,10.0,150,1189.8007910144495,1
2023-11-14,1021,Unknown,Clothing,14.0,100,1396.9163752434076,1
2024-03-20,2833,West,Clothing,7.0,20,145.25441728800433,0
2023-07-24,1994,East,Beauty,10.0,60,601.4097702342797,0
2024-06-27,1581,South,Sports,4.0,40,140.88922807336797,0
2024-06-22,1753,West,Sports,19.0,40,763.7399770758796,1
2023-09-20,1549,Unknown,Home,4.0,20,95.20714385423952,0
2024-04-02,1720,North,Sports,5.0,150,754.2052437952134,1
2024-02-03,1156,Unknown,Home,10.0,60,606.7767960537509,0
2024-07-03,2775,North,Home,13.0,20,268.08749929597167,0
2024-03-09,2863,Unknown,Sports,12.0,40,482.61592556615705,0
2023-11-03,1512,North,Electronics,14.0,60,834.5777446878566,1
2024-02-27,2214,East,Clothing,5.0,20,99.05907500917702,0
2024-07-13,1539,North,Clothing,1.0,40,40.0,0
2023-03-30,1396,Unknown,Home,10.0,100,877.4432248984112,1
2024-05-07,2280,North,Home,1.0,150,150.45205023089983,0
2024-06-28,2229,South,Sports,5.0,60,264.93637026497095,0
2024-03-14,2479,Unknown,Sports,12.0,100,1229.1652166104411,1
2024-08-05,2588,North,Electronics,13.0,60,739.5041595381281,1
2023-05-01,1661,South,Clothing,5.0,40,185.0142036428258,0
2023-09-30,2910,West,Sports,5.0,40,226.74449503968356,0
2023-12-20,1311,Unknown,Clothing,12.0,100,1201.6443520574765,1
2023-11-28,1504,North,Beauty,12.0,100,1175.2768489932143,1
2024-05-12,2881,North,Clothing,3.0,150,472.823672248864,0
2024-01-24,2377,West,Electronics,14.0,60,818.6560130747371,1
2023-04-01,2960,South,Electronics,19.0,40,790.6993963917645,1
2024-11-12,2958,North,Clothing,2.0,40,51.1974009207149,0
2023-11-11,1587,Unknown,Home,11.0,100,1121.0092176747585,1
2023-03-31,1113,Unknown,Beauty,1.0,150,90.43314638610384,0
2024-04-20,2079,East,Electronics,15.0,40,583.2314632715568,0
2024-12-31,1946,South,Clothing,12.0,150,1788.0954112056986,1
2024-09-15,2360,North,Clothing,12.0,150,1791.7418321782193,1
2024-08-19,2787,South,Home,2.0,20,47.67386567948054,0
2023-08-30,2153,North,Clothing,3.0,20,29.39674009184537,0
2023-06-24,2660,Unknown,Electronics,17.0,100,1663.976430385124,1
2023-05-21,1238,North,Beauty,10.0,60,600.0,0
2024-07-01,1036,North,Clothing,16.0,150,2232.3543537781675,1
2023-11-27,2227,South,Electronics,18.0,60,1100.0029410315228,1
2023-07-17,2090,Unknown,Clothing,11.0,40,440.72222743981615,0
2023-06-02,2254,North,Beauty,5.0,60,302.2480489230416,0
2023-02-08,2041,West,Clothing,3.0,40,156.66504168694578,0
2024-05-07,2676,South,Beauty,10.0,150,898.9931599270769,1
2023-03-01,2898,West,Clothing,1.0,20,14.239472405682667,0
2024-03-04,1142,Unknown,Clothing,16.0,60,925.9319768628176,1
2023-06-19,1407,South,Sports,2.0,40,89.75435391122426,0
2023-07-27,2675,West,Electronics,9.0,150,1360.088097811834,1
2024-04-22,1255,East,Clothing,17.0,60,1052.5059885391297,1
2023-09-08,2456,East,Clothing,10.0,20,192.72517620933013,0
2023-10-22,1830,Unknown,Beauty,19.0,60,1140.0,0
2024-05-03,2650,North,Electronics,2.0,20,70.57061751922707,0
2023-07-24,2091,West,Home,13.0,150,1899.4451698725604,1
2024-07-06,2158,West,Sports,17.0,100,1734.9347707885966,1
2023-12-06,2191,Unknown,Home,1.0,40,70.50045304209344,0
2024-08-13,2187,West,Clothing,18.0,60,1124.1242498615013,1
2023-08-11,2007,North,Clothing,9.0,100,878.5412962626801,1
2023-02-09,1045,Unknown,Electronics,18.0,100,1806.0312105633895,1
2024-10-20,1345,West,Electronics,11.0,60,637.8372175867592,0
2023-12-02,2160,South,Clothing,10.0,100,1007.6201409937134,1
2023-02-25,2360,South,Clothing,2.0,150,274.09264918126746,0
2024-01-06,2515,East,Clothing,13.0,150,1941.8561698508515,1
2023-05-05,2438,Unknown,Clothing,11.0,150,1678.690592819337,1
2024-04-22,2432,Unknown,Sports,11.0,40,432.9895027244912,0
2024-06-26,2572,Unknown,Clothing,15.0,20,280.9825239489502,0
2023-08-16,1814,Unknown,Sports,17.0,100,1684.190647631989,1
2024-10-23,1180,West,Clothing,3.0,20,77.88106831136326,0
2024-06-28,2714,South,Clothing,8.0,60,488.23300427498367,0
2024-10-23,2615,North,Clothing,9.0,40,366.3955644732469,0
2024-02-23,1699,East,Beauty,15.0,100,1485.625270335929,1
2024-11-02,1725,Unknown,Clothing,18.0,150,2232.3543537781675,1
2024-03-30,1714,Unknown,Clothing,13.0,60,791.6833415708309,1
2024-12-18,1577,Unknown,Clothing,14.0,150,2072.0756539211043,1
2024-05-26,1577,East,Electronics,8.0,40,313.25918468830486,0
2024-03-09,2459,North,Clothing,5.0,40,200.2235418459998,0
2024-09-16,2518,South,Electronics,9.0,40,337.21498408944984,0
2024-12-07,1535,West,Electronics,1.0,60,72.01247694025848,0
2023-07-12,2769,West,Clothing,17.0,150,2232.3543537781675,1
2023-06-04,1596,North,Home,7.0,150,1031.0825162331903,1
2023-03-21,1147,South,Electronics,11.0,20,228.86671739689436,0
2024-07-06,2538,Unknown,Electronics,3.0,20,95.17225438971266,0
2023-09-12,1547,East,Beauty,1.0,60,39.43363861523096,0
2023-07-08,2084,West,Home,2.0,40,123.96584671702168,0
2024-03-28,1034,North,Beauty,10.0,150,1545.4727788856458,1
2024-06-17,2263,Unknown,Beauty,12.0,100,1177.6248899092927,1
2024-06-17,1636,Unknown,Beauty,8.0,100,795.2404510536319,1
2023-05-10,1948,West,Electronics,1.0,150,167.0139671479502,0
2024-07-23,2553,North,Beauty,3.0,20,42.28960470269418,0
2023-03-19,1213,Unknown,Clothing,6.0,100,600.0602610272547,0
2023-03-10,2066,West,Sports,13.0,100,1289.0688175080732,1
2024-11-19,1199,East,Clothing,10.0,150,1480.8914735753954,1
2024-03-21,1871,North,Beauty,15.0,40,580.0347438318832,0
2023-02-18,2404,North,Clothing,1.0,20,59.1999675726767,0
2024-09-10,2283,North,Clothing,9.0,60,541.7176764798496,0
2023-07-13,1125,North,Sports,15.0,150,2205.474763658339,1
2023-05-03,2412,East,Sports,9.0,40,310.56676172739054,0
2024-03-04,1478,Unknown,Sports,7.0,100,733.3302451832697,1
2024-04-24,1491,Unknown,Electronics,1.0,20,33.16633401816924,0
2024-06-17,1723,North,Sports,5.0,20,148.67455357661996,0
2023-03-31,1917,South,Sports,10.0,60,144.32489795831628,0
2024-01-02,2883,Unknown,Home,7.0,20,99.76470136140264,0
2024-03-16,2069,West,Clothing,12.0,100,1212.5573121874306,1
2024-09-12,2200,West,Home,1.0,60,51.76339985572879,0
2023-04-20,1184,North,Electronics,15.0,40,615.27397860965,0
2023-12-24,1602,South,Clothing,9.0,40,317.81257799060097,0
2023-06-14,2082,North,Clothing,4.0,100,412.8513420149084,0
2023-12-11,1276,East,Sports,15.0,40,631.7578657847466,0
2023-05-18,2631,North,Beauty,1.0,100,133.02365822060762,0
2023-10-18,1188,West,Sports,14.0,150,2089.8989265585938,1
2023-04-10,1923,North,Clothing,12.0,20,245.69056981206344,0
2024-10-07,2316,West,Sports,7.0,60,434.4368970751885,0
2024-07-27,2967,Unknown,Sports,7.0,100,660.5592835090163,0
2024-07-11,2664,Unknown,Beauty,12.0,60,736.3491416252486,1
2024-02-04,2328,North,Electronics,5.0,40,200.7059796255848,0
2023-09-08,1209,West,Electronics,15.0,20,284.87554913689814,0
2024-12-30,2427,West,Clothing,6.0,100,611.5750333890254,0
2023-07-21,2255,East,Clothing,15.0,60,858.3469450791711,1
2023-05-26,2408,North,Sports,1.0,100,72.80768142933212,0
2024-12-31,2056,Unknown,Beauty,6.0,100,565.9444276099468,0
2023-08-22,2761,West,Sports,4.0,150,622.841917691858,0
2024-05-17,2774,Unknown,Beauty,4.0,100,448.3780462997747,0
2023-05-11,2171,North,Beauty,10.0,100,63.392040878503046,0
2024-04-03,2124,Unknown,Sports,18.0,150,2232.3543537781675,1
2024-07-19,1219,South,Home,14.0,100,1446.984771862985,1
2023-04-17,2264,Unknown,Clothing,11.0,100,1070.2334679023018,1
2023-11-14,1743,South,Sports,13.0,60,734.8694981945665,1
2023-06-22,1355,West,Clothing,18.0,20,349.0764458190577,0
2024-01-20,1714,Unknown,Sports,8.0,150,1185.2420992856491,1
2024-07-11,2517,North,Sports,14.0,60,814.9313168657959,1
2023-05-01,1185,North,Electronics,18.0,20,344.6503586252747,0
2024-11-20,1541,West,Clothing,12.0,100,1243.2127427146754,1
2023-11-21,2293,Unknown,Clothing,19.0,150,2232.3543537781675,1
2023-08-08,2721,East,Clothing,15.0,100,1482.637641835021,1
2023-03-04,2453,West,Sports,4.0,60,193.47119736026715,0
2024-07-18,1998,West,Home,7.0,40,293.8314356716104,0
2023-07-21,2375,North,Clothing,19.0,60,1153.1387509537703,1
2024-04-07,1517,South,Electronics,12.0,20,230.07531034633817,0
2024-07-04,1811,Unknown,Sports,1.0,60,77.35629097192032,0
2024-02-24,2977,West,Sports,6.0,150,881.684121540903,1
2023-11-25,2253,West,Home,8.0,40,347.3589215146084,0
2024-06-05,1495,North,Clothing,15.0,60,953.966807319968,1
2023-08-10,1271,North,Sports,11.0,60,705.0814890296476,1
2024-11-10,1155,South,Sports,5.0,60,337.2506398344683,0
2024-04-27,1394,Unknown,Electronics,16.0,40,617.1398388553881,0
2023-07-12,1033,North,Beauty,18.0,100,1749.7881375450932,1
2024-05-16,2208,West,Clothing,17.0,150,2232.3543537781675,1
2023-05-27,2459,South,Sports,11.0,40,476.48425623816,0
2024-06-29,1910,West,Beauty,10.0,60,596.4903091933309,0
2023-02-01,1402,North,Beauty,13.0,100,1322.1082569765065,1
2024-02-27,1419,West,Clothing,16.0,100,1596.8416806807925,1
2024-07-23,2345,North,Beauty,19.0,40,753.7685401131417,1
2023-04-10,2590,West,Clothing,14.0,60,839.278718325932,1
2024-08-20,2232,North,Electronics,1.0,20,12.5001224514845,0
2023-03-24,1326,West,Beauty,7.0,150,1030.4845447913196,1
2023-01-03,1202,West,Electronics,1.0,100,97.86018787152784,0
2024-03-25,1856,North,Sports,6.0,150,888.496043694722,1
2023-09-03,1709,Unknown,Sports,14.0,150,2081.62486640748,1
2023-11-03,2102,West,Electronics,4.0,150,641.3603253918876,0
2024-03-25,1862,West,Clothing,14.0,100,1422.015606197447,1
2024-11-30,1765,South,Electronics,9.0,40,389.2162916658334,0
2024-10-18,1172,North,Sports,4.0,20,83.09063186005818,0
2024-02-07,1276,West,Clothing,11.0,60,627.4288931052241,0
2024-07-26,1100,Unknown,Electronics,18.0,150,2232.3543537781675,1
2023-07-11,1932,North,Electronics,17.0,20,330.8090556544917,0
2024-07-13,1929,South,Beauty,1.0,60,100.28089462177824,0
2024-07-08,2287,Unknown,Sports,12.0,40,473.1237157204272,0
2023-06-24,1303,North,Beauty,15.0,40,626.235382468217,0
2023-06-29,1034,Unknown,Electronics,11.0,40,375.2226132784689,0
2024-07-11,2547,East,Beauty,11.0,20,227.30057589835755,0
2024-05-23,2485,North,Clothing,4.0,20,140.17638948845865,0
2024-01-31,2310,North,Electronics,1.0,100,116.48579166955406,0
2024-10-17,2116,North,Clothing,3.0,40,83.09735685705594,0
2023-07-18,2067,Unknown,Home,10.0,20,206.0082792474716,0
2023-01-21,1201,South,Clothing,15.0,20,335.5206936466653,0
2024-08-27,1688,North,Clothing,14.0,40,576.7141258303715,0
2024-08-29,1308,Unknown,Clothing,10.0,150,1466.728252008869,1
2023-07-30,1799,Unknown,Electronics,7.0,40,297.8115350664782,0
2023-06-26,2417,North,Electronics,8.0,150,1200.0,0
2023-02-25,1928,North,Clothing,17.0,60,1015.5866034075184,1
2023-11-09,2839,West,Home,8.0,60,460.6072053653025,0
2023-11-03,2027,North,Clothing,11.0,150,1646.3018262838818,1
2024-11-05,1129,North,Clothing,8.0,60,501.3431942187219,0
2024-11-16,1994,North,Clothing,4.0,20,71.90783243982638,0
2024-04-23,1444,North,Home,9.0,150,1285.7137674335893,1
2023-03-10,2542,Unknown,Home,2.0,150,302.31834144229896,0
2023-03-13,2839,North,Clothing,14.0,60,803.3141739276026,1
2023-12-21,2118,Unknown,Clothing,18.0,60,1120.898464813015,1
2024-06-01,2689,West,Beauty,6.0,100,625.3025201953168,0
2023-12-02,1311,West,Clothing,2.0,20,10.456322489585832,0
2024-12-15,1634,West,Clothing,9.0,20,165.56882780004028,0
2023-03-20,1696,West,Electronics,2.0,150,267.8807694873607,0
2023-04-16,2156,North,Clothing,7.0,60,418.5861296043912,0
2024-09-03,2827,South,Electronics,18.0,20,413.7214665282413,0
2023-12-07,2480,West,Beauty,9.0,100,893.3637334387959,1
2023-09-14,2401,North,Electronics,19.0,60,1157.082630701438,1
2023-05-08,1882,Unknown,Electronics,16.0,40,610.3667297011317,0
2023-04-10,2985,Unknown,Clothing,8.0,100,800.0,0
2024-07-04,2220,Unknown,Sports,7.0,150,1082.3341518169125,1
2024-11-04,2791,East,Clothing,15.0,40,597.6404454263829,0
2024-06-30,1980,Unknown,Beauty,4.0,20,65.03393855789682,0
2024-11-05,2203,North,Beauty,9.0,150,1349.0086312704952,1
2024-04-28,2765,East,Clothing,3.0,20,57.98988198736404,0
2023-09-03,2036,East,Electronics,11.0,20,212.93057353660365,0
2023-02-20,2603,South,Clothing,1.0,150,168.13510641581502,0
2024-01-22,1151,South,Clothing,18.0,20,374.9307003866174,0
2024-04-20,1578,North,Home,14.0,100,1405.2733775882484,1
2023-01-15,2226,South,Clothing,7.0,100,690.9536497015607,1
2023-04-30,1055,Unknown,Clothing,2.0,150,303.3601965056629,0
2023-05-03,2908,East,Home,12.0,150,1786.540429257028,1
2023-01-07,2598,West,Clothing,16.0,100,1614.6705255789254,1
2023-02-01,2257,South,Clothing,19.0,40,795.9748961515311,1
2023-05-08,1666,South,Electronics,11.0,60,665.5557190050898,0
2023-01-17,2504,North,Clothing,13.0,150,1950.0,0
2024-01-15,1228,South,Clothing,8.0,60,480.6820777004026,0
2024-05-31,1119,South,Beauty,4.0,40,142.17370351379623,0
2023-09-28,2213,South,Clothing,19.0,150,2232.3543537781675,1
2023-11-14,2485,North,Home,17.0,20,348.45470023930045,0
2023-06-20,1774,West,Beauty,11.0,60,652.3399986510015,0
2023-06-19,1510,West,Sports,3.0,40,97.86176664466038,0
2023-01-13,1259,South,Beauty,7.0,60,409.7967495608889,0
2023-01-14,2451,Unknown,Clothing,10.0,20,331.84213618850026,0
2024-01-02,1970,North,Sports,3.0,150,454.3705542516236,0
2023-11-04,2745,East,Electronics,8.0,40,314.6754080003396,0
2023-04-05,2019,North,Home,6.0,60,376.3578703767217,0
2024-11-19,2528,East,Clothing,13.0,150,1949.838983851688,1
2024-11-30,2579,Unknown,Clothing,10.0,150,1492.523122076312,1
2023-11-13,1352,East,Beauty,13.0,40,529.1089928579864,0
2024-06-19,1689,South,Sports,15.0,60,865.26934393879,1
2023-07-10,1900,North,Sports,11.0,60,670.4738055428663,0
2023-02-10,2508,East,Electronics,6.0,20,99.07895024285654,0
2023-12-27,2210,North,Clothing,14.0,60,824.0790054404504,1
2023-05-11,2868,Unknown,Sports,17.0,100,1676.8726988054304,1
2024-08-08,2949,East,Clothing,19.0,40,790.4403095997567,1
2024-02-26,1175,North,Home,15.0,150,2232.3543537781675,1
2024-03-08,2053,West,Sports,10.0,40,419.1231747133179,0
2024-10-18,1657,North,Clothing,19.0,150,2232.3543537781675,1
2023-07-16,2498,North,Sports,13.0,150,1914.099676824956,1
2023-12-29,1086,East,Clothing,3.0,20,101.9550896987366,0
2024-12-02,1662,North,Sports,13.0,100,1283.826575935158,1
2024-10-24,2152,East,Home,15.0,150,2232.3543537781675,1
2023-09-02,1651,East,Sports,10.0,40,400.0,0
2023-10-01,1033,North,Clothing,3.0,150,424.7184729626316,0
2023-11-21,1216,North,Electronics,16.0,100,1632.3634561787376,1
2024-12-15,1891,Unknown,Sports,6.0,60,349.34239668707227,0
2024-06-03,1866,North,Beauty,1.0,100,111.05897496227836,0
2024-10-25,2107,Unknown,Electronics,19.0,150,2232.3543537781675,0
2024-05-31,2206,Unknown,Clothing,12.0,100,1192.1737025483676,1
2024-10-23,1644,Unknown,Electronics,13.0,100,1326.974167391136,1
2024-12-28,2982,North,Beauty,11.0,20,220.0,0
2024-01-16,1188,North,Clothing,7.0,40,278.27314677073554,0
